,,,Initial coverage mean, Std Dev, Max,"After merging, coverage depth Mean", Std Dev, Max
m,,1,3.49841,6.88273,808,3.66689,4.5821,36
m,,1,4.66499,14.9976,2420,3.12521,5.83686,68
m,,1,3.69055,8.27666,1112,3.33984,4.78658,56
m,,1,3.49925,6.84994,973,3.44545,4.51567,36
m,,1,3.33398,6.83093,883,3.28407,4.20047,35
m,,1,3.63901,8.87873,1546,3.67825,5.05706,41
m,,1,3.80687,8.59606,1140,3.49566,4.95984,47
m,,1,4.31763,11.3604,1743,3.51476,5.70786,55
m,,1,3.31272,6.60689,887,3.36021,4.21851,37
m,,1,3.79495,9.11406,1188,3.31829,4.98186,45
m,,1,3.67405,8.48333,1181,3.37132,4.82628,41
m,,1,3.19248,5.9159,693,3.38356,4.04233,32
m,,1,3.37774,7.23399,1024,3.30793,4.35569,36
m,,1,3.11419,5.789,646,3.23809,3.81467,30
m,,1,2.98836,6.38121,917,3.29266,3.86556,41
m,,1,4.63718,14.3559,2738,3.74608,6.4811,69
m,,1,4.14613,10.35,1464,3.35899,5.29252,50
m,,1,3.89619,8.62428,1176,3.4287,5.05363,45
m,,1,3.19574,7.45559,1390,3.52265,4.44607,35
m,,1,4.17174,11.1987,1449,3.44796,5.54453,53
m,,1,3.5578,7.88567,1041,3.3471,4.69532,39
m,,1,3.03036,5.02181,614,3.19982,3.66442,29
m,,1,3.96817,9.96112,1471,3.5202,5.36325,49
m,,1,3.50591,9.12515,1387,3.87492,5.03747,45
m,,1,3.97263,10.5236,1646,3.18287,5.17908,53
m,,1,3.57969,8.10808,1117,3.32769,4.65115,42
m,,1,4.14717,11.5591,1542,3.2611,5.45624,55
m,,1,3.92931,10.6848,1567,3.47116,5.46881,49
m,,1,3.52034,7.47932,988,3.43114,4.60777,38
m,,1,2.68522,4.31211,379,3.00602,3.04336,25
m,,1,2.99398,5.09194,623,3.25829,3.61677,29
m,,1,3.58602,6.64178,830,3.49539,4.39554,34
m,,1,3.31215,8.38506,1373,3.59211,4.74599,39
m,,1,3.10184,5.66325,755,3.18626,3.84465,30
m,,1,3.48403,6.61397,945,3.42554,4.38291,37
m,,1,2.88227,4.89898,477,3.16701,3.38754,25
m,,1,3.2365,10.3016,2316,3.76603,4.79973,42
m,,1,3.70704,10.1857,1870,3.58743,5.36642,49
m,,1,3.84872,9.59655,1234,3.45276,5.1767,48
m,,1,3.47113,9.69526,1550,3.65026,5.03798,41
m,,1,3.91124,12.5542,2486,3.72679,5.96733,62
m,,1,4.68235,34.3017,19602,4.54507,8.3087,127
m,,1,4.0896,26.9665,14897,4.17052,7.14563,98
m,,1,4.56921,35.4829,20970,4.21792,8.01766,107
m,,1,3.87146,25.9809,12892,4.19212,6.53522,85
m,,1,3.20616,17.2026,7146,3.73857,4.72316,57
m,,1,3.23729,17.881,7067,3.75526,4.84664,57
m,,1,3.77318,24.4852,10892,4.22306,6.24813,88
m,,1,3.51476,22.0095,8731,4.00048,5.49697,54
m,,1,3.49921,22.125,9193,3.94335,5.46929,62
m,,1,3.93797,26.2318,12601,4.2467,6.76991,90
m,,1,3.49172,6.60099,829,3.47654,4.33271,34
m,,1,3.62093,7.37734,926,3.59259,4.7135,37
m,,1,3.32015,6.41783,786,3.42069,4.24532,33
m,,1,3.55757,6.86463,957,3.49995,4.52513,41
m,,1,3.76577,7.7944,1138,3.41499,4.79128,45
m,,1,4.28367,11.7517,2040,3.20784,5.41958,55
m,,1,3.50368,12.2501,2875,3.87125,5.56909,48
m,,1,3.19012,5.78733,629,3.09007,3.77714,30
m,,1,3.31768,6.16245,738,3.35254,4.08462,34
m,,1,2.80009,5.3972,780,3.03569,3.41532,26
m,,1,2.36274,3.508,365,2.5175,2.47912,25
m,,1,3.5045,7.66846,1094,3.21653,4.43724,37
m,,1,4.33149,11.6369,2113,3.15851,5.36164,54
m,,1,3.52945,9.47591,1894,3.66527,5.17442,43
m,,1,3.32241,6.50405,778,3.21266,4.16199,43
m,,1,3.59775,8.08668,1201,3.35424,4.72227,40
m,,1,3.76068,12.6197,3471,4.00504,5.95643,54
m,,1,2.82359,9.96643,2170,3.3075,3.84325,41
m,,1,2.92624,11.0407,2577,3.44186,3.99902,47
m,,1,3.58211,8.95173,1588,3.6902,4.99947,41
m,,1,3.45396,7.22138,1029,3.79082,4.55752,36
m,,1,3.71988,8.84919,1383,3.34168,4.90018,43
m,,1,3.4514,7.29323,1015,3.37973,4.54902,38
m,,1,3.13244,6.12147,814,3.09321,3.89513,32
m,,1,3.32626,5.93495,635,3.34653,4.1126,31
m,,1,3.47508,16.205,3903,3.93579,5.58857,63
m,,1,3.54198,13.622,3214,4.05057,5.67127,45
m,,1,4.96984,14.1596,2228,3.75008,6.4365,68
m,,1,4.58919,16.4496,4039,3.21041,6.06734,75
m,,1,2.73603,5.41865,948,3.06873,3.3262,25
m,,1,3.7672,9.59779,1518,3.69695,5.21308,46
m,,1,3.1218,5.28551,656,3.23865,3.7058,27
m,,1,3.13858,5.84998,684,3.28893,3.84627,29
m,,1,5.40287,20.653,4227,2.80606,5.87959,91
m,,1,3.83126,10.0588,1316,3.12681,4.92846,47
m,  A03,2,8.11653,10.103,808,8.74416,6.76588,61
m,  B03,2,16.906,27.9548,2420,18.6516,19.298,158
m,  C02,2,9.79339,13.0469,1112,10.3684,9.11287,78
m,  C03,2,8.48149,10.158,973,9.04947,7.19367,66
m,  D01,2,8.03003,10.3698,883,8.54327,6.83581,63
m,  D02,2,8.99887,14.0024,1546,9.66842,8.24966,70
m,  D03,2,10.0103,13.465,1140,10.7062,9.17517,86
m,  E02,2,13.0868,19.0839,1743,14.1299,13.3773,105
m,  E03,2,7.78155,9.88389,887,8.31273,6.56679,63
m,  F02,2,10.5747,14.8205,1188,11.2784,10.2891,101
m,  F03,2,9.63608,13.4512,1181,10.3261,9.08019,81
m,  G02,2,7.12997,8.58568,693,7.62286,5.73477,55
m,  G03,2,8.30424,11.1701,1024,8.92666,7.28974,70
m,  H02,2,6.97671,8.46481,646,7.41946,5.57041,49
m,  H03,2,6.64791,9.74657,917,7.06303,5.2706,57
m,  A05,2,14.587,25.1929,2738,15.9436,15.6097,125
m,  A07,2,12.0308,16.9886,1464,12.7868,12.1576,100
m,  B02,2,10.5587,13.4832,1176,11.2087,9.98556,88
m,  B05,2,7.52093,11.6994,1390,8.10551,6.0953,73
m,  B07,2,12.5622,18.9778,1449,13.2991,12.417,127
m,  C05,2,9.31477,12.4208,1041,10.0145,8.4686,92
m,  C06,2,6.67985,7.05827,614,7.11342,5.0644,40
m,  C07,2,11.2707,16.3811,1471,12.2174,10.7359,91
m,  D04,2,8.20114,14.3344,1387,8.76035,7.00347,82
m,  D05,2,12.2036,18.0326,1646,13.0296,12.4831,94
m,  D06,2,9.29107,12.8038,1117,9.88504,8.48426,85
m,  E04,2,13.0665,20.1161,1542,14.1195,13.6025,122
m,  E05,2,11.3467,18.0693,1567,12.2622,11.2249,118
m,  E06,2,8.75395,11.4683,988,9.34195,7.66205,71
m,  F04,2,5.31809,6.02293,379,5.59789,3.71658,45
m,  F05,2,6.31023,7.17211,623,6.73088,4.73885,40
m,  F06,2,8.41815,9.52346,830,8.93562,7.0521,60
m,  G04,2,8.03504,13.4424,1373,8.69632,6.95209,76
m,  G05,2,7.16835,8.30906,755,7.66741,5.73841,53
m,  G12,2,8.26182,9.65337,945,8.83354,6.90266,54
m,  H04,2,5.99609,6.93874,477,6.37743,4.37667,45
m,  H05,2,7.46431,16.7154,2316,7.88656,6.13077,73
m,  H06,2,10.345,17.2081,1870,11.2299,9.76038,89
m,  H12,2,10.6647,15.7025,1234,11.4439,10.3543,94
m,  A04,2,8.61086,15.8237,1550,9.216,7.77769,94
m,  A09,2,11.375,22.0055,2486,12.0546,11.0702,106
m,  A10,2,14.3322,64.2754,19602,15.2782,15.746,223
m,  A11,2,12.0119,50.046,14897,12.7027,12.4686,219
m,  A12,2,14.9257,69.0511,20970,15.9545,16.6543,274
m,  B04,2,10.3932,46.3341,12892,10.9356,10.2458,162
m,  B09,2,7.15912,28.3164,7146,7.47676,6.13379,99
m,  B10,2,7.40328,29.8062,7067,7.65728,6.42342,135
m,  B11,2,9.46768,42.2183,10892,9.84088,8.99985,134
m,  B12,2,8.31213,37.0601,8731,8.55894,7.49285,129
m,  C04,2,8.37169,37.5227,9193,8.60837,7.57156,146
m,  C09,2,10.7011,46.9733,12601,11.1657,10.5889,199
m,  C10,2,8.22347,9.59886,829,8.73371,6.90884,59
